Decade,Date,Total Bison Population,Natural Pressures on Bison,Social Pressures on Bison,Economics,Legislation Concerning Bison,Recovery Efforts,References,,Full citation,,,,,,,
,1.2 million years ago,,Bison priscus migrates into North America from Eurasia over Bering Land Bridge,,,,,"McDonald, 1981; Meagher, 1986",,"Agenbroad, L. D. 1978. The Hudson-Meng Site: an Alberta bison kill in the Nebraska High Plains. Plains Anthropologist 23:128–131. <https://www.jstor.org/stable/pdf/25667502.pdf>. Accessed 29 May 2019",,1880-1889,0,6,3,7,5
,"260,000 years ago",,"Bison antiquus arises from B. priscus in North America.

",Homo sapiens (modern humans) arises from Homo rhodesiensis in Africa,,,,"McDonald, 1981; Wilson et al., 2008",,Alaska Department of Fish and Game. 2008. Wood Bison Imported From Canada. Wood Bison News 1–7. <http://www.adfg.alaska.gov/static/research/wildlife/species/woodbisonrestoration/pdfs/woodbison_news4.pdf>. Accessed 6 Jun 2019,,1890-1899,0,1,1,5,4
,"120,000 years ago",,Bison priscus hybridizes again with Bos primigenius in Eurasia,,,,,"Soubrier et al., 2016",,"American Bison Society. 1910. Census of American Bison in North America on May 1, 1910. Pages 31–32 in. Third Annual Report of the American Bison Society 1909-1910. The Society, New York.",,1900-1909,0,0,1,7,8
,"100,000 years ago",,Woolly mammoths enter North America. ,Modern humans migrate out of Africa,,,,"Groucutt, H. S., et al. 2015",,"American Bison Society. 1911. Census of American Bison In North America on January 1, 1911. Pages 34–35 in. Fourth Annual Report of the American Bison Society. The Society, New York.",,1910-1919,0,0,0,2,4
,"70,000 years ago",,,Humans migrate into southern Asia,,,,"Groucutt, H. S., et al. 2015",,"American Bison Society. 1912. Census of American Bison in North America on January 1, 1912. Pages 11–13 in. Fifth Annual Report of the American Bison Society. The Society, New York.",,1920-1929,0,0,0,0,1
,"40,000 years ago",,,Bison being consumed by humans in western Europe,,,,"Morin, 2008",,"American Bison Society. 1913. Census of American Bison in North America on January 1, 1913. Pages 25–27 in. Sixth Annual Report of the American Bison Society. The Society, New York.",,1930-1939,1,1,0,1,4
,"36,000 years ago",,,"Bison cave paintings in Altamira, Spain",,,,"Burgy, 2010",,"American Bison Society. 1914. Census of American Bison in North America on January 1, 1914. Pages 28–30 in. Seventh Annual Report of the American Bison Society. The Society, New York",,1940-1949,0,2,0,2,1
,"35,000 years ago",,,"Bison kill sites in Siberia, Russia",,,,"Lbova, 1999",,"American Bison Society. 1916. Census of Bison as of January 1, 1916. Pages 37–39 in. Tenth Annual Report American Bison Society 1915-1916. The Society, New York.",,1950-1959,0,0,0,1,1
,"34,000 years ago",,,"Bison cave paintings in Chauvet, France",,,,"Quiles, 2016",,"American Bison Society. 2008. Building Blocks for Bison Ecological Restoration: A Multi-stakeholder Meeting. Page 40 in. Rapid City, South Dakota. <www.americanbisonsocietyonline.org.>. Accessed 6 Jun 2019.",,1960-1969,0,0,0,0,1
,"31,500 years ago",,,Bison carcass consumed by humans in Germany cave,,,,"Niven, 2007",,"Andrew, J. 2015. Thomas Newcomen (1664-1729) and the first recorded steam engine. Proceedings of the Institution of Civil Engineers - Transport 168: 570-578.",,1970-1979,0,0,0,3,2
,"27,000 years ago",,,,,,,"Clark, et al. 2009",,"Animal Care and Use Committee. 1998. Guidelines for the Capture, Handling, and Care of Mammals as Approved by the American Society of Mammalogist. Journal of Mammalogy 79:1416–1431. <https://about.jstor.org/terms>. Accessed 10 Jun 2019",,1980-1989,0,0,0,0,3
,"24,000 years ago",,,Humans and Bison present in Beringia  ,,,,"Moreno-Mayar, et al. 2018",,Arizona State Library. 2018. Game and Fish Commission and Department. <https://azlibrary.gov/sla/agency_histories/game-and-fish-commission-and-department>. Accessed 17 Jun 2019.,,1990-1999,0,0,3,0,5
,"20,000 years ago",,,"Bison cave paintings in Lascaux, France",,,,"Soubrier et al., 2016",,Arkansas Game and Fish Commission. n.d. Our Mission and History. <https://www.agfc.com/en/about-agfc/our-mission-and-history/>. Accessed 10 Jun 2019,,2000-2009,1,1,1,0,4
,"15,500 years ago",,,"Humans enter southern North America, hunting bison. 

At least 58 bison kill/processing sites exist in North America over the last 15,000 years. ",,,,"Hill, Hill, and Widga, 2008; Heintzman et al., 2016",,"Aune, K. & Plumb, G. 2019. Theodore Roosevelt & Bison Restoration on the Great Plains. Arcadia Publishing, 2019. ",,2010-2019,0,0,1,2,3
,"12,900 years ago",,,Aubrey bison kill site in Texas,,,,"Fiedel, 2011; Ferring, 2001",,"Badgley, C. et al. 2008. Ecological changes in Miocene mammalian record show impact of prolonged climatic forcing. Proceedings of the National Academy of Sciences of the United States of America. 105(34):12145-12149.",,,,,,,
,"12,000 years ago",,Horses go extinct in North America,"Bison and Mammuthus rock engravings at the Upper Sand Island rock art site at San Juan River, Utah",,,,"Malotki, 2012; Stuart, 1991",,"Badlands Natural History Association. 1968. Badlands National Park: History: The Depression Years. <https://www.nps.gov/parkhistory/online_books/badl/sec4.htm>. Accessed 6 Jun 2019.

",,,,,,,
,"11,650 years ago",,,,,,,"Barnosky et al., 2014",,"Barnosky, A.D., et al. 2014. Prelude the Anthropocene: two new North American Land Mammal Ages (NALMAs). The Anthropocene Review. 1:225-242. ",,,,,,,
,"11,000 years ago",,,Murray Springs bison kill site in Arizona,,,,"Haynes et al., 2010",,"Bement, L. C. 1999. Bison hunting at cooper site: where lightning bolts drew thundering herds. University of Oklahoma Press, Norman. ",,,,,,,
,"10,000 years ago",,"Beringian land bridge closes for last time. 

Mammoths largely go extinct in North America. 

Saber-toothed cats go extinct in North America. ","Hudson-Meng Bison Kill Site
Cooper bison kill site in Oklahoma",,,,"Agenbroad, 1978
Bement, 1999",,"Bement, L. C., and K. J. Buehler. 1994. Preliminary Results From the Certain Site: A Late Archaic Bison Kill in Western Oklahoma. Plains Anthropologist 39:173–183. <https://about.jstor.org/terms>. Accessed 13 Jun 2019.",,,,,,,
,"7,500 years ago",,Bison bison  arises from B. antiquus. Note: it is likely that B. bison and B. antiquus are the same species genetically and morphologically ,,,,,"Shapiro et al., 2004; Wilson et al., 2008; Martin, 2018
Wilson et al., 2008
Martin, et al., 2018",,"Bevans, C. I. 1968. Treaties and other international agreements of the United States of America, 1776-1949. Compiled under the direction of Charles I. Bevans. Dept. of State publication 8407, 8441, 8484, 8521, 8543, 8549, 8566, 8590, 8615, 8642, 8728, 8761, 8830. ",,,,,,,
,"6,000 years ago",,,"Head-Smashed-In bison jump in Alberta, Canada",,,,"Reeves, 1978",,"Bibi, F. 2013. A multi-calibrated mitochondrial phylogeny of extant Bovidae (Artiodactyla, Ruminantia) and the importance of the fossil record to systematics. BMC Evolutionary Biology. 13 (166):15.",,,,,,,
,"4,600 year ago",,,,Pyramids built in Egypt,,,"Spence, 2000",,"Bingham, E. R. 1981. California gold : selected source materials for college research papers. edited by Edwin R. Bingham. Westport, Conn. : Greenwood, 1981. ",,,,,,,
,"2,010 years ago",,,,Indian spice trade route,,,"Pollard, 2013",,"Boren, S. 2006. Smithsonian: Background, Funding, and Policy Issues CRS Report for Congress. <https://congressional-proquest-com.srv-proxy1.library.tamu.edu/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-congresearch$2f0$2f7$2f9$2f5$2fcrs-2006-dsp-0578_from_1_to_18.pdf/entitlementkeys=1234%7Capp-gis%7Ccongresearch%7Ccr>. Accessed 3 Jun 2019.",,,,,,,
,"2,000 years ago",,,,Silk road begins - goes until 1453 CE,,,"Ning and Liao, 2017",,"Boyd, D.P. and Gates, C.C. 2006. A Breif Review of the Status of Plains Bison in North America. Journal of the West 45(2) 15-21.",,,,,,,
,"1,500 years ago",,,Certain Bison Kill site in Oklahoma,,,,"Bement and Buehler, 1994",,"Brown, M. L. 1933. Asa Whitney and His Pacific Railroad Publicity Campaign. The Mississippi Valley Historical Review 20:209. <https://academic.oup.com/jah/article-lookup/doi/10.2307/1896990>. Accessed 3 Jun 2019.",,,,,,,
900s,900 CE,,,Ulm Pishkun bison jump in Montana,,,,"Holmes, 1999",,"Brownell, J. L. 1987. The genesis of wildlife conservation in Montana. Diss. Montana State University-Bozeman, College of Letters & Science. ",,,,,,,
950s,950 CE,,,,,,,"Solomina, et al., 2016",,"Burgy, D.T. 2010. A Symbol in the Celling Mural in the Cave of Altamira. Comparative Civilizations Review 23(4) 1-20.",,,,,,,
980s,985 CE,,,Erik the Red founds settlement in Greenland for the Vikings,,,,"Zorich, 2017",,"Burnett, J.A., 2003. A passion for wildlife: The history of the Canadian wildlife service. UBC Press.",,,,,,,
1000s,1000 CE,,,"Leif Erikson explores Atlantic coast of North America. 

First European to see North America. ",,,,"Enterline, 2002",,Canadian Bison Association. n.d. Bison Producers. <https://www.canadianbison.ca/resources/resources/data-and-statistics/bison-producers>. Accessed 21 Jun 2019.,,,,,,,
1490s,1492 CE,,,Christopher Columbus lands in Caribbean for Spain,,,,"Columbus and Cummins, 1992",,"Carter, R. A. 2000. Buffalo Bill Cody : the man behind the legend. Robert A. Carter. New York : Wiley, [2000]. ",,,,,,,
,1497 CE,,,John Cabot lands in Newfoundland Canada for Britain ,,,,"Fardy, 1994 ",,"Casper, S., and B. Pieczko. 2014. Guide to the Records of the South Dakota Department of Game, Fish, and Parks (GFP). Pierre, SD. <https://sddigitalarchives.contentdm.oclc.org/digital/collection/government/id/113/rec/1>.",,,,,,,
1500s,1500 CE - 1800 CE,,,Vore Buffalo Jump in Wyoming,,,,"Reher, 1985",,"Cave, A. A. 2003. Abuse of Power: Andrew Jackson and the Indian Removal Act of 1830. Historian, 65(6) 1330–1353.",,,,,,,
,1519,,Hernando Cortes brough horses to Mexico,,,,,"Isenberg, 2000",,"Cincinnati Zoo & Botanical Garden. n.d. History, Mission and Vision. <http://cincinnatizoo.org/about-us/history-and-vision/>. Accessed 13 Jun 2019.",,,,,,,
1520s,1521,,,Conquistador Hernan Cortes first european to see captive bison in southern Mexico,,,,"Dolin, 2010",,"Clark,P.U., A.S. Dyke, J.D. Shakum, A.E. Carlson, J. Clark, B.W. Wohlfarth, J.X. Mitrovica, S.W. Hostetler, and A.M. McCabe. 2009. The Last Glacial Maximum. Science 325:710. ",,,,,,,
,1528,,,First European to see wild bison in North America. Alvar Nunez Cabeza de Vaca in eastern or central Texas between 1528-1533. ,,,,"Reed, 1952",,"Columbus, C. and Cummings, J.G. 1992. The voyage of Christopher Columbus : Columbus's own journal of discovery. newly restored and translated, John Cummins: New York : St. Martin's Press, 1992. ",,,,,,,
1540s,1540,,"Cattle introduced to North American, along with their various diseases - leading to the demise of bison in the late 1880s

Horses at large in North America",,Spanish exploration of Mexico and American Southwest by Francisco Vasquez de Coronado,,,"Barnosky et al., 2014; Stoneberg Holt, 2018",,"Crenshaw, J. 2002. A century of wildlife management, part 1 - New Mexico Wildlife magazine. New Mexico Wildlife 47. <http://magazine.wildlife.state.nm.us/century-wildlife-management-part-1/>. Accessed 29 May 2019.",,,,,,,
1570s,1570,,,Madison Buffalo jump in Montana,,,,"Nathan, 2018",,"Dary, D. 2004. The Oregon Trail : an American saga. 1st ed. David Dary. New York : Alfred A. Knopf .",,,,,,,
1610s,1612,,,The first Englishmen see bison for the first time,,,,"Dolin, 2010",,"Davies, K. G. 1969. Kelsey, Henry. In Dictionary of Canadian Biography, vol. 2, University of Toronto. ",,,,,,,
1670s,1670,,,Hudson's Bay Company chartered,"Hudson's Bay Company trapping, hunting, and trading furs of many animals including bison robes. ",,,"Pinkerton, 1931",,"Derricourt, R. 2005. Getting ""Out of Africa"": Sea Crossings, Land Crossings and Culture in the Hominin Migrations. Journal of World Prehistory 19: 119-132. ",,,,,,,
,1673,,,Jacques Marquette and Louis Jolliet explored the Mississippi and Illinois Rivers describing bison herds at large in central North America,,,,"Petersen, 1968",,"Dexter, R. 1978. History of the Ecologists' Union: Spin-off from the esa and Prototype of the Nature Conservancy. Bulletin of the Ecological Society of America, 59(3) 146–147.",,,,,,,
1690s,1690,,,Henry Kelsey of HBC began 2-year exploration that made him the first white man to see bison in the Canadian Great Plains. ,,,,"Hayne, David, ed. (1979) [1969]. ""Kelsey, Henry"". Dictionary of Canadian Biography. II (1701–1740) (online ed.). University of Toronto Press",,"Dobak, W. 1996. Killing the Canadian Buffalo, 1821-1881. Western Historical Quarterly 27:33–52. <https://www.jstor.org/stable/969920?seq=1&cid=pdf-reference#references_tab_contents>. Accessed 14 Jun 2019.",,,,,,,
1710s,1712,,,"As Euro-Americans settled the country, moving westward from the east coast, they brought changes to native habitat through plowing and farming. 

Introduced cattle diseases and grazing competition with feral horses also impacted bison prior to direct impact by Euro-Americans.",Steam engine invented and catalyes the development of the Transcontinetal Railroad,,,"Andrew, 2015; Isenberg, 2000",,"Dolin, E. J. 2010. Fur, fortune, and empire : the epic history of the fur trade in America. 1st ed. Eric Jay Dolin. W.W. Norton & Company, New York. ",,,,,,,
1750s,1750,,"The great bison belt, a tract of rich grassland that ran from Alaska to the Gulf of Mexico, east to the Atlantic Seaboard (nearly to the Atlantic tidewater in some areas) as far north as New York and south to Georgia and per some sources down to Florida, with sightings in North Carolina near Buffalo Ford on the Catawba River as late as 1750",,,,,"Hornaday, 1889",,"Endangered Species Act of 1973, 16 U.S.C. §§1531-1544. ",,,,,,,
1800s,1800,59168000,,," Bison leather is strong and durable and was a major commidity for the production of flat belts. Flat belts were widely used for in line shafting to transmit power in factories. They were also used in countless farming, mining, and logging applications, such as bucksaws, sawmills, threshers, silo blowers, conveyors for filling corn cribs or haylofts, balers, water pumps (for wells, mines, or swampy farm fields), and electrical generators. ",,,"Gates et al., 2010; Soper, 1941; Isenberg, 1992",,"Engle, S. D. 2019. Shaping the Contours of Federalism: The American Civil War and the Negotiation of Nation-State Power. Federal History 83–108. Society for History in the Federal Government. <http://proxy.library.tamu.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=136192988&site=eds-live>.",,,,,,,
,1802,0,,Bison gone from Ohio ,,,,"McHugh, 1972",,"Enright, K. 2009. America’s Natural Places: Rocky Mountains and Great Plains. ABC-CLIO.",,,,,,,
,1803,0,,"Lewis and Clark expedition
Last buffalo was pushed out of modern day Buffalo, NY",,Louisiana purchase - Great Plains added to United States which included the natural bison range,,"Senate Jounal, 1803; Louisiana Purchase Treaty, 1803. 
Garretson, 1934",,"Enterline, J. R. 2002. Erikson, Eskimos & Columbus : medieval European knowledge of America. James Robert Enterline. Johns Hopkins University Press, 2002., Baltimore.",,,,,,,
,1804,0,,,Steam engine train locomotion invented,,,"Trevithick, F. 1872",,"Fardy, B. D. 1994. John Cabot: The discovery of Newfoundland. B.D. Fardy: St. John's, NFLD: Creative Publishers, 1994. ",,,,,,,
,1805,0,,,Invention of refrigeration,,,"Pearson, 2005",,"Federal Aid in WIldlife Restoration Act, 16 U.S.C. 669-669i 50 stat. 917.",,,,,,,
,1815,0,,Last two bison shot east of the Allegheny Mountains,Demand for bison robes and fur rise through 1840s ,,,"Dolin, 2010
Garretson, 1934",,"Ferring, C. R., and S. A. Elias. 2001. The archaeology and paleoecology of the Aubrey Clovis site (41DN479) Denton County, Texas. C. Reid Ferring ; with contributions by Scott A. Ellias [and others] ; [performing organization] Center for Environmental Archaeology, Dept. of Geography, University of North Texas. [Fort Worth, Tex.] : U.S. Army Corps of Engineers, Fort Worth District, 2001. ",,,,,,,
,1818,0,,,,United States and Great Britain sing the Convention of 1818 that extends the boundary between U.S and Canada on about the 49th parallel,,"Bevans, 1968",,"Fiedel, S.J. 2011. The mysterious onset of the Younger Dryas. Quaternary international 242:262-266.",,,,,,,
,1819,#N/A,,"Native Americans tribes, forced off land in the east, bring horses and guns to the Great Plains and increased pressure on bison.
",,,,"Jahoda, 1975",,"Frasier, R. 2019. ""Bison in History"". All About Bison. Accessed May 2019. https://allaboutbison.com/bison-in-history/bison-timeline/ ",,,,,,,
1820s,1825,0,,,First public railway created in Britain,,,"Kirby, 2002",,FWS: https://www.fws.gov/bisonrange/timeline.htm,,,,,,,
1830s,1830,0,,Mass destruction of the once great herds of bison began.,,"U.S. Indian Removal Act ""Trail of Tears"" 

Proclomation to kill bison in army correspondence",,"Cave, 2003; Indian Removal Act of 1830",,"Gabrielson, I. N. 1941. Wildlife conservation. by Ira N. Gabrielson ... New York : The Macmillan company, 1941. <http://proxy.library.tamu.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=cat03318a&AN=tamug.740131&site=eds-live>.

",,,,,,,
,1831,0,,,First train in United States,,,"Morris, 2017",,"Galloway, J. D. 1989. The first transcontinental railroad : Central Pacific, Union Pacific. by John Debo Galloway. New York : Dorset  Press, 1989. ",,,,,,,
,1832,0,,Last bison shot east of the Mississippi River in southwest Wisconsin,,,,"Lueck, 2002",,"Garretson, M. 1918. Tenth Census of Living American Bison as of January 1, 1918. Pages 23–28 in. Report of the American Bison Society 1917-18. The Society., New York. ",,,,,,,
,1834,0,,,,,The American Journal of Science calls for a rapid decline of fur trade to preserve animals in North America,"Dolin, 2010",,"Garretson, M. 1920. Twelfth Census of Living American Bison as of January 1, 1920. Pages 25–29 in. Report of the American Bison Society 1919-1920. New York",,,,,,,
,1836,0,,The push west of Missouri begins with the exploration of the Oregon Trail by the Whitman-Spalding group,,,,"Dary, 2004",,"Garretson, M. 1923. Fifteenth Census of Living American Bison as of January 1, 1923. Pages 21–27 in. Report of the American Bison Society 1922-23. New York.",,,,,,,
,1837,30000000,,,Economic depression in U.S. spurs immigration to Texas (Known as Panic of 1837),,,"Rouaaeau, 2002",,"Garretson, M. 1926. Seventeenth Census of Living American Bison as of January 1, 1926. Pages 25–32 in. Report of the American Bison Society 1924-25-26. New York.",,,,,,,
,1839,30000000,,,,,,"McHugh,1972",,"Garretson, M. 1929. Eighteenth Census of Living American Bison as of January 1, 1929. Pages 25–31 in. Report of the American Bison Society 1927-28-29-30. New York.",,,,,,,
1840s,1840,0,,"West of the Rocky Mountains, bison (never in large numbers) disappeared.

Native Americans market hunters concentrated on cow bison, because of their prime hides for trading.",,,,"Hornaday, 1889",,"Geremia, C., R. Wallen, and P. J. White. 2017. Status Report on the Yellowstone Bison Population, September 2017. <http://www.ibmp.info/Library/OpsPlans/2017_StatusYellowstoneBisonPopulation_Sep2017_Final.pdf>. Accessed 6 Jun 2019",,,,,,,
,1843,0,,"Oregon Trail begins from Independence, Missouri",Oregon Trail begins,,,"Dary, 2004",,"Gjeston, D. 2013. The Gamekeepers Wisconsin Wildlife Conservation From WCD to CWD. Wisconsin Department of Natural Resources, Madison, WI. <https://dnr.wi.gov/files/PDF/pubs/ss/SS1079.pdf>",,,,,,,
,1845,0,,,Texas becomes 28th state,"June 1845 Asa Whitney led a team along the proposed central route for the Transcontinental Rail to assess its capabilities. Whitney then traveled widely to solicit support for the rail line, printed maps and pamphlets, and submitted several proposals to Congress. ",,"Brown, 1933; Office of the Historian Burrea of Public Affairs, n.d.",,"Groucutt, H. S., et al. 2015. Rethinking the dispersal of Homo sapiens out of Africa. Evolutionary Anthropology 24: 149-164.",,,,,,,
,1846,0,,,,"Smithsonian Institution founded in Washington, D.C.",,"Boren, 2006",,"Hamilton, H. 2015. Prologue to Conflict: The Crisis and Compromise of 1850. University Press of Kentucky",,,,,,,
,1848,0,,,California gold rush begins,,,"Bingham, 1981",,"Hanner, J. 1981. Government Response to the Buffalo Hide Trade, 1871-1883. The Journal of Law and Economics 24:239–271. The University of Chicago Press. ",,,,,,,
1850s,1850,0,, ,Texas cedes land and becomes its current shape,,,"Hamilton, 2015; Solomina, et al, 2016",,"Haynes, C.V., J. Boerner, K. Domanik, D. Lauretta, J. Ballenger and J. Goreva. 2010. The Murray Springs Clovis site, Pleistocene extinction, and the question of extraterrestrial impact. Proceedings of the National Academy of Sciences 107:4010. ",,,,,,,
1860s,1860,0,,"Railroads built across the Great Plains during this period divided the bison into two main herds - the southern and the northern. Many bison were killed to feed the railway crews and Army posts. 

During this time, Buffalo Bill Cody gains fame.",,,,"Dolin, 2010; Mchugh, 1972",,"Hayter, E. 2012. Barbed Wire Fencing - A Prairie Invention. 30. <https://esirc.emporia.edu/bitstream/handle/123456789/1305/Hayter Vol 4 Num 3.pdf>. Accessed 13 Jun 2019",,,,,,,
,1861,0,,United States Civil War begins,,,,Engle 2019,,Heintzman et al. 2016. Bison phylogeography constrains dispersal and viability of the Ice Free corridor in western Canada. Proceedings of the National Academy of Sciences. 113 (29) 8057-8063.,,,,,,,
,1862,0,,,,"The House of Representatives voted for the Transcontinetal Rail line on May 6, 1862, and the Senate on June 20. Lincoln signed it into law on July 1.",,"The Pacific Railway Act, 1862",,"Higgs, S. 2019. A Guide to Natural Areas of Northern Indiana: 125 Unique Places to Explore. Indiana University Press.",,,,,,,
,1864,0,,,,Idaho State Legislature passed the first law to protect the bison - 24 years after bison were gone from the state.,,"Brownell, 1987",,"Hill, M.E., Hill, M.G., and Widga, C.C. 2008. Late Quaternary Bison Diminution on the Great Plains of North America: evaluating the role of human hunting versus climate change. Quaternary Science Reviews. 27(17-18) 1752-1771. ",,,,,,,
,1865,0,,United States Civil War ends,,,,"Plante, 2015",,"Hill, P. J. 2014. Are All Commons Tragedies? The Case of Bison in the Nineteenth Century. The Independent Review 18:485–502. <https://about.jstor.org/terms>. Accessed 14 Jun 2019.",,,,,,,
,1866,0,,,,,"In 1866, Charles Goodnight, at the request of his wife, captured a few free ranging bison calves and began a captive herd on his ranch in Texas. The bison were sold shortly after, unbeknownst of Mr. Goodnight.","Lueck, 2002",,"Hoffmeister, D. F. 1986. Mammals of Arizona. Donald F. Hoffmeister. [Tucson] : University of Arizona Press : Arizona Game and Fish Dept., [1986].",,,,,,,
,1867,0,,"Buffalo Bill Cody kills 4,282 bison in 18 months for the Kansas Pacific Railroad on contract. 

In an 8-hour competition, Cody killed 69 bison compared to Bill Comstock's 46. ","Cattle drives from Texas to railhead in Kansas

Refrigeration rail cars first used to ship products and meat",,,"Carter, 2000; Snell, 2010",,"Holmes, K. 1999. Ulm Pishkum: World of the Early Plains Bison. Montana: The Magazine of Western History 49(2) 86-87. ",,,,,,,
,1868,0,,"General William Sherman reinforces the call for hunting bison to extictions in his June 17th letter to his brother, United States senator John Sherman.","Bison bones were used in refining sugar, and in making fertilizer and fine bone china. 

Bison bones brought from $4.00 to $12.00 per ton. 

Based on an average price of $8 per ton they brought $2.5 million dollars into Kansas alone between 1868 and 1881. 

Assuming that about 100 skeletons were required to make one ton of bones, this represented the remains of more than 31 million bison.",,"Lincoln Park Zoo in Chicago, IL established. ","Isenberg, 2000; Rosenthal et al. 2003; Garretson, 1934",,"Hornaday, W. T. 1889. The Extermination of the American Bison. ",,,,,,,
,1869,0,,,"Golden Spike: First Transcontinental Railroad across the United States connecting the Central Pacific and Union Pacific railroads on May 10, 1869, at Promontory Summit, Utah Territory.",,,"Galloway, 1989",,"Hornaday, W. T. 1908. Census of Living Bison On January 1st, 1908. Pages 71–74 in. Annual Report of the American Bison Society 1905-1907. New York",,,,,,,
1870s,1870,5500000,,"An estimated two million bison were killed this year on the southern plains. 

England and Germany had developed a process to tan bison hides into fine leather.

Homesteaders collected bones from carcasses left by hunters. 

Bison robe trade begins to decline in Canada. People, traders, trappers, and hunters, all depended on bison for their own sustenance.","Bison in Prairie Canada were nearly extirpated. 

Hornday estimated a waste of 15-20 million dollars which equates to 235-313.5 million in 2019 conversion.

Bison Robes become fashionable

Railroad companies offered ""hunting specials"" across the plains where passengers were welcome to shoot as many bison from the comfort of their train car. the was pushed by rail companies because bison were destroying the tracks during their migrations",,It became obvious in the 1870's that owning bison was profitable. More and more people were capturing free ranging bison to establish private herds.,"Hornaday, 1889; Taylor, 2011; Dobak, 1996; Hill, 2014; Kolipinski et al., 2014; McHugh, 1972",,"Hornaday, W. T. 1913. Our vanishing wildlife: its extermination and preservation. American environmental studies, [New York] : Arno, [1970]. <http://proxy.library.tamu.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=cat03318a&AN=tamug.492721&site=eds-live>.",,,,,,,
