OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
23,-147.7166667,64.83333333,3,40741,23553,Fairbanks Area 2 [AKFAI-VP],,,196.259079,14400,18400,-12450,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,1016,,23,"Akersten, W.A., S.J. Miller, and C.A. Repenning. 2002. The Booth Canyon Local Fauna, a depauperate mammalian assemblage from the Late Pleistocene of eastern Bonneville County, Idaho. Pages 101-130 in W.A. Akersten, M.E. Thompson, D.J. Meldrum, R.A. Rapp, and H.G. McDonald, editors. And whereas ... Papers on the Vertebrate Paleontology of Idaho Honoring John A. White, Volume 2. Occasional paper 37. Idaho Museum of Natural History, Pocatello, Idaho."
24,-147.6833333,65.1,3,38915,21439,Little Eldorado Creek [AKLIV-VP],,,303.08255,43000,71000,-41050,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,3,Bison sp,,"451, 857, 453",,24,"Akins, N.J. 2003. Salt Creek: data recovery at seven prehistoric sites along US 285 in Chaves and De Baca Counties, New Mexico. Museum of New Mexico, Office of Archaeological Studies, Archaeological Notes 298, Santa Fe, New Mexico."
25,-147.6833333,65.1,3,38913,21439,Little Eldorado Creek [AKLIV-VP],,,303.08255,40000,57000,-38050,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison sp,,1373,,25,"Akins, N.J. 2017. Coyote Canyon Rockshelter (LA 139965): a specialized hunting camp along NM 434, Mora County, New Mexico. Archaeology Notes 477, Museum of New Mexico, Santa Fe, New Mexico."
26,-147.6333333,65.05,3,40507,23454,Dome Creek [AKLIV-VP],,,378.1246948,17250,33680,-15300,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,2,Bison priscus,,"1016, 449",,26,"Alex, L.M. 2000. Iowa's Archaeological Past. University of Iowa Press, Iowa City, Iowa."
27,-147.6,64.91666667,3,40863,23618,Fox Permafrost Tunnel [AKFAI-VP],,,214.3960419,15080,17970,-13130,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,"1016, 1163, 666, 463, 406",,27,"Alexander, H.L., Jr. 1963. The Levi site: a Paleoindian campsite in central Texas. American Antiquity 28(4):510-528."
28,-147.583333,64.95,3,,,Goldstream [AKFAI-VP],NA,"unit 4, alluvial sand with mammoth and ?bison bones, 16'6""-17'6"" depth",214.3960419,16175,16375,-14225,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,28,"Allen, J.A. 1876. Description of some remains of an extinct species of wolf and of an extinct species of deer from the lead region of the upper Mississippi. American Journal of Science 11:47-51. "
29,-147.583333,64.95,2,,,Goldstream [AKFAI-VP],NA,NA,214.3960419,6008,6228,-4058,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,29,"Amundson, L.J. 1986. The Amisk Site: A Multi-Component Campsite in South-Central Saskatchewan. Master's thesis, University of Saskatchewan, Saskatoon, Saskatchewan."
30,-147.583333,64.95,2,,,Goldstream [AKFAI-VP],NA,male bison skull,214.3960419,2963,3123,-1013,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,30,"Amundson, L.J. and D. Meyer. 2003. Late Plano occupation at the St. Louis Site (FfNk-7), central Saskatchewan. Current Research in the Pleistocene 20(1):1-3."
31,-147.487,65.12,3,,,Chatanika,NA,NA,378.1246948,15666,15816,-13716,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,1352,,31,"Amundson, L.J., and D.L. Kelly. 1987. Wanuskewin Heritage Park small fraction recovery project: Newo Asiniak (FbNp-16) and Amisk (FbNp-17) sites. Millenium Heritage Resource Consultants, Inc., Saskatoon, Saskatchewan."
32,-147.3333333,65.08333333,3,39050,22536,Cleary Creek [Upper Cleary Creek] [AKLIV-VP],,,467.9082642,13280,36750,-11330,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,2,Bison priscus,,"1016, 1189",,32,"Anderson, D.C., and H.A. Semken, editors. 1980. The Cherokee Excavations: Holocene Ecology and Human Adaptations in Northwestern Iowa. Academic Press, New York, New York."
33,-147.333333,65.083333,3,,,Cleary Creek [Upper Cleary Creek] [AKLIV-VP],NA,NA,467.9082642,13731,14001,-11781,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,33,"Anderson, E. 1966. Animal Remains. Pages 113-114 in R. Lister, editor. Contributions to Mesa Verde archaeology III: site 866 and the cultural sequence at four villages in the Far View Group, Mesa Verde National Park, Colorado. Series in Anthropology 12, University of Colorado, Boulder, Colorado."
34,-147.333333,65.083333,3,,,Cleary Creek [Upper Cleary Creek] [AKLIV-VP],NA,NA,467.9082642,13471,13731,-11521,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,34,"Anderson, E. 1968. Fauna of the Little Box Elder Cave, Converse County, Wyoming: the Carnivora. Studies Series in Earth Science 6, University of Colorado, Boulder, Colorado."
35,-147.3166667,64.98333333,3,30052,17848,Blue Babe [AKFAI-VP],,,467.9082642,33850,39000,-31900,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,451,,35,"Anderson, E. 1998. Quaternary wolverines (Gulo gulo) from Idaho. Pages 173-185 in W.A. Akerston, H.G. McDonald, D.J. Meldrum, and M.E.T. Flint, editors. And whereas ... Papers on the vertebrate paleontology of Idaho honoring John A. White, Volume 1. Occasional Paper 36. Idaho Museum of Natural History, Pocatello, Idaho."
36,-147.1666667,65.06666667,3,40743,23554,Fairbanks Creek [AKLIV-VP],,,459.6324463,11845,37150,-9895,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,"1016, 454, 472",,36,"Anderson, N.C. 1905. A Preliminary List of Fossil Mastodon and Mammoth Remains in Illinois and Iowa. Augustana Book Concern Printers, Rock Island, Illinois."
37,-147,65,2,,,Esther [AKCIR-VP],NA,male bison skull,405.6418457,2517,2677,-567,NA,NA,,United States of America,Alaska,Fairbanks North Star,NA,NA,,,"1352, 838",,37,"Apland, B.C., and C.R. Harington. 1994. Pleistocene bison skeleton (Bison bison cf. occidentalis) from Clayhurst Crossing, British Columbia. Geographie Physique et Quaternaire 48(2):213-223."
38,-146.4791667,64.28888889,3,39384,22675,Canyon Creek [AKXDB028],,,327.5360413,29000,57000,-27050,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,1347,,38,"Arata, A.A. 1964. Fossil vertebrates from Avery Island. Pages 66-72 in S.M. Gagliano, editor. An Archaeological Survey of Avery Island. Avery Island Inc. and Coastal Studies Institute, Louisiana State University, Baton Rouge, Louisiana."
39,-146.25,64.3,3,38789,22392,Richardson Highway [AKCIR-VP],,,500.6237488,24840,26660,-22890,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,1,Bison priscus,,"449, 450",,39,"Arata, A.A., and J.H. Hutchison. 1964. The raccoon (Procyon) in the Pleistocene of North America. Tulane Studies in Geology 2:21-27. "
40,-146.25,64.3,3,38842,22425,Tanana River Cave,,,500.6237488,14000,150000,-12050,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,1,Bison sp,,450,,40,"Arce, A. 2019. Maps and Journal of Dominquez-Escalante Expedition. HIST3850: History of Utah Project. http://www.uintahbasintah.org/jdandemain.htm, Accessed 2019-11-17."
41,-146.1166667,64.26666667,3,40829,23601,Broken Mammoth [AKIKR-VP],,,304.4448853,10560,15900,-8610,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,5,Bison sp,,583,,41,"Arkush, B.S. 2002. Archaeology of the Rock Springs Site. Monographs in Archaeology 1:1-185."
42,-145.815,66.261,2,,,Birch Creek,NA,NA,155.6239471,2568,2620,-618,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,1352,,42,"Arkush, B.S. 2016. Late prehistoric big-game hunting in Curlew Valley: archaeological investigations at 10OA275. Monographs in Idaho Archaeology and Ethnology No. 2, Archaeological Survey of Idaho, Idaho State Historical Society, Boise, Idaho."
43,-145.815,66.261,2,,,Birch Creek,NA,NA,155.6239471,2407,2457,-457,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,1352,,43,"Arthurs, D.W. 1982. The Long Sault Site: Cultural Dynamics in the Rainy River Valley of Northwestern Ontario. Master's thesis. University of Manitoba, Winnipeg, Manitoba."
44,-145.1352778,64.05694444,3,40664,23534,Gerstle River Quarry Site [AKXMH246],,,348.8392639,9020,18560,-7070,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,1,Bison bison,,"584, 1034, 482, 1033, 1035",,44,"Arthurs, D.W. 1986. Archaeological investigations at the Long Sault site (Manitou Mounds): a stratified habitation and burial station on the Rainy River in northwestern Ontario. Conservation Archaeology Report, Northwestern Region, Ontario Ministry of Citizenship and Culture. Kenora, Ontario."
45,-145,63.25,2,,,Tetlin bison [AKTNX-VP],NA,male bison skull,1552.133301,1148,1258,802,NA,NA,,United States of America,Alaska,Southeast Fairbanks,NA,NA,,,"1352, 838",,45,"Ashley, G.M., and T.D. Hamilton. 1983. Epiguruk Bluff - a late Quaternary environmental record from the northwest of Alaska. Geological Society of America Abstracts with Programs 15(6):518. "
46,-144.666667,66.666667,3,,,Black River bison [AKFYU-VP],NA,female bison with skull with horn sheaths,136.8097076,13686,13826,-11736,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,46,"Auffenberg, W. 1957. A note on an unusually complete specimen of Dasypus bellus (Simpson) from Florida. Quarterly Journal of Florida Academy of Sciences 20(4):233-237."
47,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,NA,136.8097076,9850,10350,-7900,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,47,"Austin, K.E. 2005. Skeletal adaptations in Bison latifrons to accommodate larger horn cores and vertebral sexual dimorphism in Bison bison. Idaho State University. Doctoral dissertation, Idaho State University, Pocatello, Idaho."
48,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,male bison skull,136.8097076,5760,5850,-3810,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,48,"Back, R.N. 1836. Narrative of the Arctic Land Expedition to the Mouth of the Great Fish River and Along the Shores of the Artic Ocean, in the Years 1933, 1834, and 1835. Baudry's European Library, Paris, France."
49,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,male bison cranium and horn core,136.8097076,5086,5206,-3136,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,49,"Badertscher, P.M., L.J. Roberts, and S.L. Zoltai. 1987. Hill of the buffalo chase: 1982 excavations at the Stott site, DlMa-1. Papers in Manitoba Archaeology, Manitoba Culture, Heritage and Recreation, Historic Resources Branch, Winnipeg, Manitoba."
50,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,male bison skull with horn sheaths,136.8097076,4925,5065,-2975,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,50,"Baerreis, D.A. 1970. Environmental archaeology in western Iowa. Northwest Chapter Iowa Archeological Society Newsletter 18:3-15."
51,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,female bison horn core and part of cranium,136.8097076,3984,4124,-2034,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,51,"Baerreis, D.A. 1975. Environmental archaeology seminar Chan-Ya-Ta Site 13BV1 unpublished seminar papers. Manuscript on file at the Iowa Office of the State Archaeologists. Iowa City, Iowa."
52,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,male bison skull with both horn sheaths,136.8097076,3745,3825,-1795,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,52,"Baerreis, D.A., and R.A. Bryson. 1966. Dating the Panhandle Aspect cultures. Bulletin of the Oklahoma Anthropological Society 14:105-116. "
53,-144.666667,66.666667,2,,,Black River bison [AKFYU-VP],NA,male bison skeleton,136.8097076,1561,1681,389,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,"1352, 838",,53,"Bagg, R.M., Jr. 1909. Notes on the distribution of the mastodon in Illinois. University of Illinois Bulletin 6(17):46-57."
54,-143.183,66.277,2,,,Black River,NA,NA,244.1738434,2834,2906,-884,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,1352,,54,"Bailey, T.L. 1923. The Geology and Natural Resources of Colorado County. University of Texas, Austin, Texas."
55,-143.068,67.031,2,,,Porcupine River Cave 1 [AKBLR-?],NA,NA,263.6379395,9850,10350,-7900,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,NA,NA,,,1352,,55,"Baker, F.C. 1920. The life of the Pleistocene or glacial period. University of Illinois Bulletin 17(41):1-476."
56,-142.75,66.91666667,3,38434,22210,Porcupine Cave 1 [AKBEN-VP],,,303.0918274,21470,39090,-19520,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,0,1,Bison sp,,"279, 1129, 522, 522, 1373",,56,"Balcom, R.J. 1976. Analysis of the faunal remains from the Cherry Point site. Papers in Manitoba Archaeology, Department of Tourism, Recreation and Cultural Affairs, Winnipeg, Manitoba."
57,-141.866667,64.05,3,,,Lost Chicken Creek,NA,"placer deposits, a bone that appears to have been broken with a hammerstone",669.3623657,12042,12362,-10092,NA,NA,,United States of America,Alaska,Southeast Fairbanks,NA,NA,,,"1352, 838",,57,"Balkwill, D.M., and S.L. Cumbaa. 1992. A Guide to the Identification of Postcranial Bones of Bos taurus and Bison bison. Canadian Museum of Nature, Ottawa, Ontario."
58,-141.866667,64.05,2,,,Lost Chicken Creek,Unit 6,NA,669.3623657,7839,10199,-5889,NA,NA,,United States of America,Alaska,Southeast Fairbanks,NA,NA,,,1352,,58,"Ball, B.F., and P.T. Bobrowsky. 1987. Cost effectiveness and time management evaluation of intensive recovery techniques. Canadian Journal of Archaeology 11:75-97. "
59,-141.8666667,64.05,3,36871,21496,Lost Chicken Creek,,,669.3623657,9900,27000,-7950,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,1,Bison priscus,,473,,59,"Bamforth, D.B. 1985. The technological organization of Paleo-Indian small-group bison hunting on the Llano Estacado. Plains Anthropologist 30(109):243-258."
60,-141.4583333,64.15,3,38968,22503,Jack Wade Creek,,,827.1607666,11500,17500,-9550,NA,NA,,United States of America,Alaska,Southeast Fairbanks,0,4,Bison priscus,,1032,,60,"Bamforth, D.B. 2002. The Paleoindian occupation of the Medicine Creek Drainage, southwestern Nebraska. Pages 54-83 in D.C. Roper, editor. Medicine Creek: Seventy Years of Archaeological Investigations. The University of Alabama Press, Tuscaloosa, Alabama."
61,-140.7977778,67.13305556,3,40825,23599,Bluefish Cave 2 [MgVo-2],,,426.4133911,11800,31960,-9850,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"201, 931, 150, 198",,61,"Bamforth, D.B. 2007. The Allen Site: a Paleoindian Camp in Southwestern Nebraska. University of New Mexico Press, Albuquerque, New Mexico."
62,-140.7947222,67.13166667,3,40827,23600,Bluefish Cave 3 [MgVo-3],,,426.4133911,11850,33900,-9900,NA,NA,,Canada,Yukon,.,0,2,Bison sp,,"200, 931, 150, 198, 199, 480, 1429",,62,"Barbour, E.H. and C.B. Schultz. 1932. The Scottsbluff Bison Quarry and its artifacts. Bulletin of the University of Nebraska State Museum 34:283-286."
63,-140.794722,67.131667,3,,,Bluefish Cave 3 [MgVo-3],NA,late Pleistocene loess containing a bone bed,426.4133911,15940,16300,-13990,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,63,"Barbour, E.H. and C.B. Schultz. 1936. Palaeontologic and geologic consideration of early man in Nebraska. Bulletin of the University of Nebraska State Museum 45:441-450."
64,-140.794722,67.131667,3,,,Bluefish Cave II,NA,lower loess,426.4133911,11814,12094,-9864,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,64,"Bardwell, J. 1981. The Paleoecological and Social Significance of the Zooarchaeological Remains from Central Plains Tradition Earthlodges of the Glenwood Locality, Mills County, Iowa. Master's thesis. University Iowa, Iowa City, Iowa."
65,-140.7833333,67.13333333,3,30054,17849,Blue Fish Caves I-III,,,426.4133911,12800,15630,-10850,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,476,,65,"Barnum, S.V. 2000. A reconnaissance cultural resource survey for the proposed state Lease of Indian Creek Recreation Area, Walworth County, South Dakota. ARC Archive No: AWW-0097."
66,-139.904167,67.819444,3,,,Old Crow Loc. CRH-11A [MkVl-12],NA,"river bank, point bar",296.8009338,14285,14645,-12335,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,66,"Barr, W. 2002. From Barrow to Boothia: The Arctic Journal of Chief Factor Peter Warren Dease, 1836-1839. McGill-Queen's University Press, Montreal, Quebec."
67,-139.904167,67.819444,3,,,Old Crow Loc. CRH-11A [MkVl-12],NA,"river bank, point bar",296.8009338,13205,13605,-11255,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,67,"Barton, J.B. 1976. A late Pleistocene Local Fauna from American Falls, Southeastern Idaho. Master's thesis. Brigham Young University, Salt Lake City, Utah."
68,-139.85,67.84722222,3,25917,16565,Old Crow Basin Locality CRH-14N [MlVl-1],,,296.8009338,1200,2580000,750,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,"925, 103, 926, 135, 613, 932, 950",,68,"Baugh, S.T. 1986. Late Prehistoric bison distributions in Oklahoma. Plains Anthropologist Memoir 21:83-96."
69,-139.8444444,67.82222222,3,26002,16575,Old Crow Basin Locality CRH-11-1 [MkVl-9A],,,296.8009338,11730,12680,-9780,NA,NA,,Canada,Yukon,.,0,3,Bison priscus,,925,,69,"Baugh, T.G. 1991. The Avoca Site (14JN332): Excavation of a Grasshopper Falls Phase structure Jackson County, Kansas. Kansas State Historical Society, Contract Archeology Publication 8, Topeka, Kansas."
70,-139.844444,67.822222,3,,,Old Crow Basin Locality CRH-11-1 [MkVl-9A],NA,gully behind face of high bluff,296.8009338,14941,15081,-12991,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,70,"Baumann, T.E. and M.D. Groover. 2010. Pottery, passages, postholes, and procelain: Essays in honor of Charles H. Faulkner. Report of Investigations 53. Department of Anthropology, University of Tennessee, Knoxville. "
71,-139.844444,67.822222,3,,,Old Crow Basin Locality CRH-11-1 [MkVl-9A],NA,gully behind face of high bluff,296.8009338,14535,14975,-12585,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,71,"Baxevanis, S.E. 1997. Collection Management and Analysis of the Lake Theo Folsom Bone Assemblage. Master's Thesis. Texas Tech University, Lubbock, Texas."
72,-139.844444,67.822222,3,,,Old Crow Basin Locality CRH-11-1 [MkVl-9A],NA,gully behind face of high bluff,296.8009338,13709,14069,-11759,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,72,"Bayham, F.E. 1982. A Diachronic Analysis of Prehistoric Animal Exploitation at Ventana Cave. Doctoral dissertation. Arizona State University, Tempe, Arizona."
